id,name,address,postcode,bbox
2548,Sunningdale,"The Library, Monmouth Hall, Monmouth Road, Yeovil, Somerset",BA21 5NP,"POLYGON((-2.64137533066896 50.9387612267153,-2.64137533066896 50.967698683312,-2.59556207700996 50.967698683312,-2.59556207700996 50.9387612267153,-2.64137533066896 50.9387612267153))"
57,Southside Community Library,"Southside Youth Hub, Kelston View, Bath",BA2 1NR,"POLYGON((-2.42729914763007 51.361067847195,-2.42729914763007 51.3900022790941,-2.38106711341404 51.3900022790941,-2.38106711341404 51.361067847195,-2.42729914763007 51.361067847195))"
53,Moorland Road,"Moorland Road, Bath",BA2 3PL,"POLYGON((-2.40256162282215 51.3630209648392,-2.40256162282215 51.3919552542885,-2.35632783339458 51.3919552542885,-2.35632783339458 51.3630209648392,-2.40256162282215 51.3630209648392))"
49,Combe Hay Community Library,"Combe Hay Church, Combe Hay",BA2 7EG,"POLYGON((-2.40649248811884 51.3234353936993,-2.40649248811884 51.3523699013234,-2.36029849586147 51.3523699013234,-2.36029849586147 51.3234353936993,-2.40649248811884 51.3234353936993))"
52,Midsomer Norton,119 High St. Midsomer Norton,BA3 2DA,"POLYGON((-2.50454345205159 51.2714416997069,-2.50454345205159 51.3003769568229,-2.45840085528698 51.3003769568229,-2.45840085528698 51.2714416997069,-2.50454345205159 51.2714416997069))"
55,Radstock,"The Street, Radstock",BA3 3PR,"POLYGON((-2.47103006398832 51.2767901541309,-2.47103006398832 51.3057252263687,-2.42488235937365 51.3057252263687,-2.42488235937365 51.2767901541309,-2.47103006398832 51.2767901541309))"
2544,Shepton Mallet,"The Library, Shepton Mallet, Somerset",BA4 5AZ,"POLYGON((-2.5695127739585 51.1762097237441,-2.5695127739585 51.2051457331345,-2.52346490215158 51.2051457331345,-2.52346490215158 51.1762097237441,-2.5695127739585 51.1762097237441))"
2552,Wells,"The Library, Union Street, Wells, Somerset",BA5 2PU,"POLYGON((-2.67109171280824 51.1945292332269,-2.67109171280824 51.2234655124443,-2.62502499916458 51.2234655124443,-2.62502499916458 51.1945292332269,-2.67109171280824 51.1945292332269))"
2533,Glastonbury,"Library Hub, 1 Orchard Court, The Archers Way, Glastonbury, Somerset",BA6 9JB,"POLYGON((-2.73851395885441 51.1343473153814,-2.73851395885441 51.1632840833423,-2.69250688217798 51.1632840833423,-2.69250688217798 51.1343473153814,-2.73851395885441 51.1343473153814))"
2527,Castle Cary,"The Library, Bailey Hill, Castle Cary, Somerset",BA7 7AA,"POLYGON((-2.53710262736537 51.075357049573,-2.53710262736537 51.1042934266269,-2.49115518883517 51.1042934266269,-2.49115518883517 51.075357049573,-2.53710262736537 51.075357049573))"
2554,Wincanton,"The Library, Carrington Way, Wincanton, Somerset",BA9 9JS,"POLYGON((-2.43252714786035 51.0432547960808,-2.43252714786035 51.0721908364206,-2.38661227666799 51.0721908364206,-2.38661227666799 51.0432547960808,-2.43252714786035 51.0432547960808))"
1494,Briercliffe,"Jubilee Street, Briercliffe, Burnley",BB10 2JD,"POLYGON((-2.22500303647776 53.7980521722268,-2.22500303647776 53.8269733811457,-2.17613450593668 53.8269733811457,-2.17613450593668 53.7980521722268,-2.22500303647776 53.7980521722268))"
1496,Burnley,"Grimshaw Street, Burnley",BB11 2BD,"POLYGON((-2.26598843075362 53.7733402795393,-2.26598843075362 53.8022618899707,-2.21714814694567 53.8022618899707,-2.21714814694567 53.7733402795393,-2.26598843075362 53.7733402795393))"
1507,Coal Clough,"Coal Clough Lane, Burnley",BB11 4NW,"POLYGON((-2.28276822823332 53.769997615726,-2.28276822823332 53.7989193533684,-2.23393163884086 53.7989193533684,-2.23393163884086 53.769997615726,-2.28276822823332 53.769997615726))"
1548,Rosegrove,"Lowerhouse Lane, Burnley",BB12 6HU,"POLYGON((-2.30579865267853 53.775113784361,-2.30579865267853 53.8040356454279,-2.25695587099428 53.8040356454279,-2.25695587099428 53.775113784361,-2.30579865267853 53.775113784361))"
